flight_no.,date_and_time_(utc),"version,_booster[h]",launch_site,payload[i],payload_mass,orbit,customer,launch_outcome,booster_landing,latitude,longitude
227,"May 27, 2023 04:30[119]",F9 B5 B1062‑14,"Cape Canaveral, SLC‑40",ArabSat 7B (Badr-8)[120],"~4,500 kg (9,900 lb)",GTO,Arabsat,Success,Success (JRTI),28.5618571,-80.577366
228,"May 31, 2023 06:02[122]",F9 B5 B1061‑14,"Vandenberg, SLC‑4E",Starlink: Group 2-10 (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
229,"June 4, 2023 12:20[122]",F9 B5 B1078‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-4 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
230,"June 5, 2023 15:47[123]",F9 B5 B1077‑5,"Kennedy, LC‑39A",SpaceX CRS-28 (Dragon C208.4),"~3,304 kg (7,284 lb)",LEO (ISS),NASA (CRS),Success,Success (ASOG),28.6080585,-80.6039558
231,"June 12, 2023 07:10[124]",F9 B5 B1073‑9,"Cape Canaveral, SLC‑40",Starlink: Group 5-11 (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
232,"June 12, 2023 21:35[125]",F9 B5 B1071‑9,"Vandenberg, SLC‑4E",Transporter-8 (72 payload smallsat rideshare),Unknown[j],SSO,Various,Success,Success (LZ‑4),34.6328344,-120.6107465
233,"June 18, 2023 22:21[126]",F9 B5 B1067‑12[127],"Cape Canaveral, SLC‑40",SATRIA[128],"~4,580 kg (10,100 lb)",GTO,PT Pasifik Satelit Nusantara,Success,Success (ASOG),28.5618571,-80.577366
234,"June 22, 2023 07:19[126]",F9 B5 B1075‑4[129],"Vandenberg, SLC‑4E",Starlink: Group 5-7 (47 satellites),"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
235,"June 23, 2023 15:35[131]",F9 B5 B1069‑8,"Cape Canaveral, SLC‑40",Starlink: Group 5-12 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
236,"July 1, 2023 15:12[132]",F9 B5 B1080‑2,"Cape Canaveral, SLC‑40",Euclid,"~2,160 kg (4,760 lb)",Sun–Earth L2 injection,ESA,Success,Success (ASOG),28.5618571,-80.577366
237,"July 7, 2023 19:29[134]",F9 B5 B1063‑12[135],"Vandenberg, SLC‑4E",Starlink: Group 5-13 (48 satellites),"~14,900 kg (32,800 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
238,"July 10, 2023 03:58[134]",F9 B5 B1058‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-5 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
239,"July 16, 2023 03:50[136]",F9 B5 B1060‑16[137],"Cape Canaveral, SLC‑40",Starlink: Group 5-15 (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
240,"July 20, 2023 04:09[138]",F9 B5 B1071‑10,"Vandenberg, SLC‑4E",Starlink: Group 6-15 (15 satellites),"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
241,"July 24, 2023 00:50[138]",F9 B5 B1076‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-6 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
242,"July 28, 2023 04:01[139]",F9 B5 B1062‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-7 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
FH 7,"July 29, 2023 03:04[140]",Falcon Heavy B5 B1074 (core),"Kennedy, LC‑39A",Jupiter-3 (EchoStar-24)[141],"~9,200 kg (20,300 lb)",GTO,EchoStar,Success,No attempt,28.6080585,-80.6039558
243,"August 3, 2023 05:00[144]",F9 B5 B1077‑6,"Cape Canaveral, SLC‑40",Galaxy 37,"~5,063 kg (11,162 lb)",GTO,Intelsat,Success,Success (JRTI),28.5618571,-80.577366
244,"August 7, 2023 02:41[149]",F9 B5 B1078‑4,"Cape Canaveral, SLC‑40",Starlink: Group 6-8 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG),28.5618571,-80.577366
245,"August 8, 2023 03:57[150]",F9 B5 B1075‑5,"Vandenberg, SLC‑4E",Starlink: Group 6-20 (15 satellites),"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success (OCISLY),34.6328344,-120.6107465
246,"August 11, 2023 05:17[151]",F9 B5 B1069‑9,"Cape Canaveral, SLC‑40",Starlink: Group 6-9 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI),28.5618571,-80.577366
